Hole Depth (ft),True Vertical Depth (ft),Hydrostatic Pressure (psi),Confined Pressure (psi),Mechanical Specific Energy (psi),Unconfined Compressive Strength (psi),Confined Compressive Strength (psi),Young modulus (GPa),Bulk Density (g/cc),Porosity (fraction),Permeability (nD),Compressional wave (microsec/ft),Shear wave (microsec/ft),Gamma (API)
9335,8952.4,708.9472523951999,1569.1916652637715,84958.28519094779,46727.05685502129,86539.5582286481,4283.683149083665,2.549744700589075,0.006573909878797919,2.3965720113972044,38.65422342846227,54.19933468947981,93.0
9336,8953.4,709.0264431431999,1567.8912338360574,84395.00595673817,46417.253276206,85916.1870716519,4252.147423975404,2.5497012209250265,0.006601781458316418,2.4223756227735347,38.78594906895796,54.42267589855349,100.8
9337,8954.4,709.1056338911999,1597.4023643326284,82079.46430151907,45143.70536583549,84584.56306394543,4201.304687903182,2.5495173751577873,0.006719631309110645,2.533335794193468,39.33684756128118,55.360175365082476,100.8
9338,8955.4,709.1848246391999,1567.979634497057,84366.83783308814,46401.76080819848,85884.99526130412,4250.649841786093,2.549699034157492,0.006603183232377024,2.423677807458914,38.792559385832774,54.43389207347802,112.4
9339,8956.4,709.2640153872,1571.9777520050573,84089.4255050432,46249.184027773765,85742.95349585381,4245.701768545155,2.549677433897076,0.0066170295531565605,2.4365631659596265,38.857778906717286,54.54459736958672,116.3
9340,8957.4,709.3432061351998,1570.1974519944856,79061.16876651355,43483.642821582456,80553.21973484644,3987.8532287005446,2.549264591385576,0.006881672188733222,2.6908408285115843,40.07874882496293,56.63158245635531,104.6
9341,8958.4,709.4223968831999,1568.0272587603429,78607.38192344032,43234.06005789218,80015.53649746382,3960.1797279127386,2.5492252174411125,0.006906911896722739,2.7158927255592626,40.19273354611312,56.82782843761469,96.9
9342,8959.4,709.5015876311999,1568.1064495083428,75747.96724342219,41661.38198388221,77104.89892002597,3816.161723728707,2.548968279531035,0.007071615685233866,2.8828350553564115,40.926476192986875,58.09694733568997,124.0
9343,8960.4,709.5807783792,1587.2204273763427,85247.07671191475,46885.89219155312,87464.04026706699,4338.980897368835,2.5497668100677675,0.006559737136046403,2.3835149013268384,38.587026374228884,54.08552400380049,120.1
9344,8961.4,709.6599691271998,1553.0689925472,99365.53042570877,54651.04173413983,100500.80450916314,4964.875315702187,2.5507171516959724,0.005950543784632973,1.8623808430159317,35.55234415018902,49.03024800423727,77.5
9345,8962.4,709.7391598751999,1626.9879614823428,94749.17464231698,52112.046053274345,98797.31024967505,4924.625558874245,2.5504319988953337,0.006133334041452851,2.0106185490777024,36.49436680553165,50.582004129405156,77.5
9346,8963.4,709.8183506231999,1541.5705663846286,98287.18906080376,54057.95398344207,98919.230609098,4879.754265029541,2.5506525068407213,0.005991982794409502,1.8953856453226043,35.768415108125716,49.38480163317992,83.3
9347,8964.4,709.8975413711998,1549.1976900504858,102962.16092165049,56629.188506907776,103957.43444148573,5133.169444340836,2.550924716323278,0.005817489536360191,1.758767720741064,34.848259518114226,47.88052144159075,81.4
9348,8965.4,709.9767321191998,1599.3631641342,81565.58476329739,44861.07161981357,84092.59358046755,4177.855610924569,2.5494754200646796,0.006746525599564422,2.559080075952211,39.461212654463424,55.57258914153118,85.3
9349,8966.4,710.0559228671999,1515.8852378921997,82100.09632610004,45155.05297935503,81711.60048798674,4017.866670211374,2.5495190506607655,0.00671855726874015,2.532310948715374,39.33187063305958,55.35168079184807,85.3
9350,8967.4,710.1351136151999,1561.5519440116286,100912.43547692754,55501.83951231015,102410.74977519235,5064.539760602518,2.5508079077893107,0.005892366801723864,1.8166352604919,35.2464453738657,48.52968150927984,77.5
9351,8968.4,710.2143043631999,1614.6666104274855,81065.64531885367,44586.104925369524,84092.72447805331,4185.531866580957,2.549434186006598,0.006772957688078326,2.584535510618746,39.58295830144957,55.78080617564943,85.3
9352,8969.4,710.2934951112,1562.8800051783428,77251.59012961478,42488.37457128813,78437.16916137251,3879.6045368481387,2.5491053302549367,0.0069837626570917735,2.7930384457251898,40.53725063241145,57.422459862918146,85.3
